"Művelettípus","ItemID","Paraméter megnevezése","Elvárt műveletek száma","Névleges érték","Minimum","Maximum","Mértékegység","Konverzió"," "
"CalibrationTest","31","CAL_BAL_CellCurrents","10","(nincs beállítva)","0.03","(nincs beállítva)","A","(nincs beállítva)",""
"CalibrationTest","21","CAL_CAL_CellVoltage","5","0.008","(nincs beállítva)","(nincs beállítva)","V","(nincs beállítva)",""
"CalibrationTest","23","CAL_CAL_Current","3","0.6","(nincs beállítva)","(nincs beállítva)","%","(nincs beállítva)",""
"CalibrationTest","22","CAL_CAL_PackVoltage","5","0.03","34.9","35.1","V","(nincs beállítva)",""
"CalibrationTest","75","CAL_CAL_Status","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)",""
"CalibrationTest","14","CAL_CDM_CC2_Current","1","(nincs beállítva)","-0.01","0.01","A","(nincs beállítva)",""
"CalibrationTest","12","CAL_CDM_CellVoltage","10","(nincs beállítva)","3.42","3.78","V","(nincs beállítva)",""
"CalibrationTest","16","CAL_CDM_DCHG_DDSG","1","3","(nincs beállítva)","(nincs beállítva)","C","(nincs beállítva)",""
"CalibrationTest","19","CAL_CDM_FET_Status","2","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)",""
"CalibrationTest","13","CAL_CDM_PackVoltage","3","(nincs beállítva)","34.2","37.8","V","(nincs beállítva)",""
"CalibrationTest","11","CAL_CDM_PF_Status","4","0","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)",""
"CalibrationTest","10","CAL_CDM_Safety_Status","3","0","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)",""
"CalibrationTest","72","CAL_CDM_Status","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)",""
"CalibrationTest","15","CAL_CDM_Temp","3","(nincs beállítva)","10","40","C","(nincs beállítva)",""
"CalibrationTest","18","CAL_CDM_TS_Temp","2","(nincs beállítva)","23","27","C","(nincs beállítva)",""
"CalibrationTest","20","CAL_CDM_VPack","1","(nincs beállítva)","35.95","36.05","V","(nincs beállítva)",""
"CalibrationTest","71","CAL_CFGMD_Status","1","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)","(nincs beállítva)",""
"CalibrationTest","53","CAL_COV_PackStatusAfter","1","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","52","CAL_COV_PackStatusBefore","1","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","54","CAL_COV_PackStatusSafety","1","0","(nincs beállítva)","(nincs beállítva)","bool","(nincs beállítva)",""
"CalibrationTest","24","CAL_CUD_TFUSE","1","(nincs beállítva)","40","60","R","(nincs beállítva)",""
